Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kitanoumi,Y1e,Y1e,N/A,0,-1,0,-19,12,-19,139.44889999999998,7,14.112400000000001
Wajima,Y1w,Y1w,N/A,1,0,1,-10,10,-11,99.49060000000001,4,5.7432
Takanohana,O1w,O1e,N/A,3,2,2,-20,13,-22,147.8615,7,15.933399999999999
Kaiketsu,O1e,O1w,M4w,2,1,3,7,6,4,68.0428,3,4.1471
Mienoumi,S2e,S1e,N/A,6,5,4,-9,11,-13,123.50090000000002,6,12.1434
Asahikuni,S1w,S1w,N/A,5,4,5,-2,9,-7,88.3761,5,10.226700000000001
Kirinji,S2w,S2e,M3e,7,6,6,4,8,-2,112.70889999999999,4,11.1451
Takamiyama,M4w,K1e,M2e,17,16,7,2,11,-5,119.8933,5,9.8538
Wakamisugi,M2w,K1w,M4e,13,12,8,6,9,-2,106.3492,3,7.6757
Washuyama,M7e,M1e,M4w,22,21,9,7,11,-2,99.5533,2,2.8716
Kongo,S1e,M1w,M5w,4,3,10,9,6,-1,59.38719999999999,2,3.8857
Fujizakura,K1w,M2e,M6e,9,8,11,10,7,-1,88.37070000000001,3,5.4818
Kaneshiro,M6e,M2w,M7w,20,19,12,13,9,1,88.1135,1,1.5961
Aobajo,K1e,M3e,M7w,8,7,13,13,6,0,52.0791,1,1.2755
Taiga,M5e,M3w,M8w,18,17,14,15,8,1,81.5019,0,0
Masuiyama,M1e,M4e,M8w,10,9,15,15,6,0,42.317299999999996,1,1.5961
Arase,M1w,M4w,M9e,11,10,16,16,6,0,45.9887,2,2.8716
Aobayama,J4e,M5e,M10w,42,41,17,19,13,2,114.0165,0,0
Kotonofuji,M11w,M5w,M11e,31,30,18,20,10,2,97.8223,2,3.8857
Tochiazuma,M8e,M6e,M11w,24,23,19,21,8,2,56.2127,0,0
Kurohimeyama,M4e,M6w,M11w,16,15,20,21,6,1,40.292899999999996,2,3.5651
Wakajishi,M12w,M7e,M12e,33,32,21,22,10,1,72.9165,0,0
Futagodake,M9w,M7w,M13e,27,26,22,24,8,2,64.5428,0,0
Tamanofuji,M5w,M8e,M13e,19,18,23,24,6,1,57.4753,0,0
Banryuyama,M10e,M8w,M13w,28,27,24,25,8,1,64.1911,0,0
Kitaseumi,M6w,M9e,M14e,21,20,25,26,6,1,43.5681,0,0
Owashi,M11e,M9w,M14w,30,29,26,27,8,1,63.3602,0,0
Hasegawa,M3e,M10e,M14w,14,13,27,27,4,0,40.26709999999999,2,2.8716
Fukunohana,M7w,M10w,M15e,23,22,28,28,6,0,47.132299999999994,0,0
Yutakayama,M3w,M11e,M15e,15,14,29,28,4,-1,27.211299999999998,2,3.8857
Mutsuarashi,M2e,M11w,M15w,12,11,30,29,3,-1,17.9334,0,0
Tamakiyama,J1w,M12e,M16e,37,36,31,30,9,-1,81.00370000000001,0,0
Oshio,M10w,M12w,M16e,29,28,32,30,7,-2,59.275099999999995,0,0
Daigo,J1e,M13e,J1e,36,35,33,33,8,0,64.0059,0,0
Daiju,M8w,M13w,J1w,25,24,34,34,5,0,32.996700000000004,0,0
Kaiki,J6e,M14e,J2e,46,45,35,35,10,0,85.0019,0,0
Onishiki,M13e,M14w,J2e,34,33,36,35,7,-1,49.2773,0,0
Wakanoumi,J4w,M15e,J2w,43,42,37,36,9,-1,83.0004,0,0
Katsunishiki,J3e,M15w,J3e,40,39,38,37,8,-1,59.0037,0,0
Chiyozakura,J2w,M16e,J4w,39,38,39,40,7,1,55.003099999999996,0,0
Tenryu,M13w,M16w,J4w,35,34,40,40,6,0,44.1012,0,0
Chiyonofuji,M12e,M17e,J5e,32,31,41,41,5,0,37.225100000000005,0,0
Futatsuryu,J5w,J1e,J5w,45,44,42,42,8,0,61,0,0
Ryuo,J3w,J1w,J5w,41,40,43,42,7,-1,54,0,0
Dairyugawa,M9e,J2e,J6e,26,25,44,43,3,-1,22.2034,0,0
Shiratayama,J6w,J2w,J6w,47,46,45,44,8,-1,57.0003,0,0
Asanobori,J7e,J3e,J7e,48,47,46,45,8,-1,69.0004,0,0
Maruyama,J11e,J3w,J7e,56,55,47,45,10,-2,82,0,0
Haguroiwa,J5e,J4e,J7e,44,43,48,45,7,-3,39.000299999999996,0,0
Yoshioyama,J8w,J4w,J8w,51,50,49,48,8,-1,58.0003,0,0
Tochiisami,J9e,J5e,J9e,52,51,50,49,8,-1,48,0,0
Daio,J9w,J5w,J9w,53,52,51,50,8,-1,58,0,0
Adachi,J11w,J6e,J9w,57,56,52,50,9,-2,60,0,0
Kurama,J10w,J6w,J10w,55,54,53,52,8,-1,54,0,0
Kiyonohana,J13w,J7e,J11w,61,60,54,54,9,0,47,0,0
Konuma,J10e,J7w,J12e,54,53,55,55,7,0,53,0,0
Dewanohana,J8e,J8e,J12e,50,49,56,55,6,-1,38,0,0
Takanosato,J2e,J8w,J12e,38,37,57,55,3,-2,26,0,0
Ishikawa,J12e,J9e,N/A,58,57,58,63,6,5,31,0,0
Taiko,J7w,J9w,N/A,49,48,59,74,1,15,9,0,0
Matsuoka,J12w,J10e,N/A,59,58,60,76,3,16,6,0,0
Masudayama,J13e,J10w,N/A,60,59,61,89,0,28,0,0,0
