Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kitanoumi,Y1e,Y1e,N/A,0,-1,0,-19,12,-19,131.2596,6,9.6289
Wajima,Y1w,Y1w,N/A,1,0,1,-10,10,-11,100.29669999999999,4,8.2577
Takanohana,O1e,O1e,N/A,2,1,2,-9,10,-11,96.40299999999999,4,7.9371
Kaiketsu,S1e,S1e,N/A,3,2,3,-12,11,-15,132.0826,3,5.4818
Wakamisugi,S1w,S1w,N/A,4,3,4,-3,9,-7,105.87839999999998,3,8.8555
Kurohimeyama,S2w,S2e,M2w,6,5,5,3,8,-2,78.7496,5,8.0328
Kirinji,M1e,K1e,N/A,9,8,6,-2,10,-8,110.89099999999999,5,9.8538
Asahikuni,M2w,K1w,M1w,12,11,7,1,10,-6,113.7804,5,8.0328
Mienoumi,M6w,M1e,M5w,20,19,8,9,10,1,118.83790000000002,2,7.58
Hasegawa,M5w,M1w,M6w,18,17,9,11,9,2,86.0915,1,1.2755
Masuiyama,M6e,M2e,M7e,19,18,10,12,9,2,99.0917,1,1.5961
Arase,M4w,M2w,M7w,16,15,11,13,8,2,74.6002,4,6.0638
Fukunohana,M1w,M3e,M8w,10,9,12,15,6,3,45.0613,1,1.2755
Fujizakura,M10e,M3w,M9e,27,26,13,16,10,3,81.04679999999999,0,0
Takamiyama,M2e,M4e,M9e,11,10,14,16,6,2,64.2387,4,8.9512
Tochiazuma,M7e,M4w,M10e,21,20,15,18,8,3,61.38549999999999,1,1.5961
Daiju,S2e,M5e,M10e,5,4,16,18,4,2,43.4745,1,1.5961
Kitaseumi,M9w,M5w,M10w,26,25,17,19,9,2,96.9038,0,0
Futagodake,M7w,M6e,M10w,22,21,18,19,8,1,66.17559999999999,1,1.2755
Kongo,K1e,M6w,M11e,7,6,19,20,4,1,35.5352,2,3.1922
Yutakayama,M8w,M7e,M11w,24,23,20,21,8,1,57.23310000000001,0,0
Kaneshiro,M3e,M7w,M12e,13,12,21,22,5,1,37.098800000000004,3,4.1471
Banryuyama,J2e,M8e,M12w,38,37,22,23,11,1,94.0062,0,0
Owashi,M3w,M8w,M12w,14,13,23,23,5,0,35.5429,2,2.8716
Tamanofuji,M8e,M9e,M13e,23,22,24,24,7,0,61.544399999999996,0,0
Daio,M4e,M9w,M13e,15,14,25,24,5,-1,30.416800000000002,1,1.2755
Ryuko,K1w,M10e,M13w,8,7,26,25,3,-1,29.6939,3,4.4677
Ryuo,M11e,M10w,M14e,29,28,27,26,8,-1,72.16,0,0
Aobajo,M11w,M11e,M14w,30,29,28,27,8,-1,61.4817,0,0
Wakajishi,M13e,M11w,M14e,33,32,29,26,9,-3,78.88810000000001,0,0
Kotonofuji,M12w,M12e,M15w,32,31,30,29,8,-1,64.08709999999999,0,0
Onishiki,M9e,M12w,M14e,25,24,31,26,7,-5,54.876099999999994,0,0
Shiratayama,M5e,M13e,M14e,17,16,32,26,5,-6,33.1001,2,2.551
Taiga,J3w,M13w,M16e,41,40,33,30,10,-3,79.0336,0,0
Dairyugawa,J1e,M14e,M17w,36,35,34,33,8,-1,72.0079,0,0
Mutsuarashi,J1w,M14w,J1e,37,36,35,34,8,-1,69.00200000000001,0,0
Tamakiyama,J6e,M15e,J1w,46,45,36,35,10,-1,76.0001,0,0
Oshio,M14w,M15w,J2e,35,34,37,36,7,-1,50.964099999999995,0,0
Takanosato,J3e,M16e,J2w,40,39,38,37,8,-1,63.0001,0,0
Yoshinotani,M13w,M16w,J3w,34,33,39,39,6,0,44.874199999999995,0,0
Tenryu,M12e,M17e,J4e,31,30,40,40,5,0,46.343799999999995,0,0
Maruyama,J8e,M17w,J5w,50,49,41,43,9,2,68,0,0
Yoshioyama,J4e,J1e,J5w,42,41,42,43,7,1,59.0062,0,0
Haguroiwa,J2w,J1w,J6e,39,38,43,44,6,1,39.0001,0,0
Tochiisami,J12w,J2e,J8e,59,58,44,48,10,4,83,0,0
Asanobori,J8w,J2w,J8e,51,50,45,48,8,3,68,0,0
Chiyonofuji,J4w,J3e,J8e,43,42,46,48,6,2,48.0001,0,0
Washuyama,J9e,J3w,J8w,52,51,47,49,8,2,59,0,0
Aobayama,J11e,J4e,J8w,56,55,48,49,9,1,42,0,0
Wakanoumi,M10w,J4w,J8w,28,27,49,49,2,0,16.0037,0,0
Masudayama,J11w,J5e,J9e,57,56,50,50,9,0,72.0001,0,0
Teruzakura,J9w,J5w,J9e,53,52,51,50,8,-1,49,0,0
Futatsuryu,J10e,J6e,J9w,54,53,52,51,8,-1,47,0,0
Kozan,J7w,J6w,J9e,49,48,53,50,7,-3,47.0001,0,0
Kenryu,J5w,J7e,J9e,45,44,54,50,6,-4,40.0001,0,0
Nishinishiki,J6w,J7w,J10e,47,46,55,52,6,-3,38,0,0
Katsunishiki,J13e,J8e,J10w,60,59,56,53,9,-3,56,0,0
Chiyozakura,J7e,J8w,J10w,48,47,57,53,6,-4,35.0001,0,0
Wakafutase,J5e,J9e,J12w,44,43,58,57,4,-1,25.0001,0,0
Genbu,J13w,J9w,J13e,61,60,59,58,8,-1,55,0,0
Teruyama,J10w,J10e,N/A,55,54,60,80,1,20,8,0,0
Kotetsuyama,J12e,J10w,N/A,58,57,61,87,0,26,0,0,0
